"family","genus","species","taxon","habitat","feeding.mode","tl","offspring.size","spawning.type","age.maturity","fecundity","length.infinity","growth.coefficient","length.max","age.max"
"Gobiidae","Pomatoschistus","minutus","Pomatoschistus minutus","demersal","benthivorous",3.22,1.15,"guarder",1,3654,8,1.11,7,3
"Gobiidae","Pomatoschistus","norvegicus","Pomatoschistus norvegicus","demersal","benthivorous",3.26,0.88,"guarder",1,2995,9,0.93,8,1.8
"Gobiidae","Pomatoschistus","pictus","Pomatoschistus pictus","demersal","benthivorous",3.12,0.78,"guarder",1,1000,9,0.93,6,2
"Gobiidae","Pomatoschistus","","Pomatoschistus","demersal","benthivorous",3.26,0.88,"guarder",1,2550,9,0.7,6,2.4
"Gobiidae","","","Gobiidae","demersal","benthivorous",3.11,1.04,"guarder",1.2,14445,12,0.48,12,2.8
"Gonostomatidae","Cyclothone","acclinidens","Cyclothone acclinidens","bathypelagic","planktivorous",3.55,0.5,"non-guarder",1,2267,8,0.85,4,3
"Gonostomatidae","Cyclothone","atraria","Cyclothone atraria","bathypelagic","planktivorous",3.2,0.52,"non-guarder",1,2267,8,0.85,4,3
"Gonostomatidae","Cyclothone","microdon","Cyclothone microdon","bathypelagic","planktivorous",3.04,0.5,"non-guarder",1,6000,8,0.85,6,3
"Gonostomatidae","Cyclothone","","Cyclothone","bathypelagic","planktivorous",3.2,0.5,"non-guarder",3.5,2267,8,0.85,4,3
"Gonostomatidae","Sigmops","bathyphilus","Sigmops bathyphilus","bathypelagic","benthivorous",3.3,0.5,"non-guarder",1,2267,8,0.85,20,1.3
